Episode,Score,Average Score,tau
200,-83.5442975680345,-157.07729485012408,0.0001
201,-109.07972256718801,-156.51355159698662,0.0001
202,-66.29266529101602,-155.98396465795048,0.0001
203,-120.15752848077697,-156.03613878047244,0.0001
204,-196.78961816671597,-155.8386122681632,0.0001
205,-88.77338325217107,-155.3269649383734,0.0001
206,-114.90194808097982,-155.47021936346846,0.0001
207,-99.22997799643008,-154.96909064020466,0.0001
208,-133.18892713539665,-154.96365921391737,0.0001
209,-98.74508138468207,-154.52796976415732,0.0001
210,-112.89133815749611,-154.3090907271491,0.0001
211,-95.48368119982545,-153.15239648443298,0.0001
212,-85.22719142895389,-152.1705764410928,0.0001
213,-145.67339026485305,-152.37670041632038,0.0001
214,-148.21203274438955,-152.33236843128043,0.0001
215,-120.59901094180346,-152.08447648339995,0.0001
216,-118.78389839796662,-151.7911039874978,0.0001
217,-96.38155648624422,-147.8185521292722,0.0001
218,-153.44305391273488,-148.54736047920116,0.0001
219,-154.4452558658887,-143.98178775059728,0.0001
220,-123.33931229493632,-139.5147945681716,0.0001
221,-124.87518944393959,-137.93273977759299,0.0001
222,-138.27741395367744,-137.40684363378662,0.0001
223,-98.51894358330998,-135.8969419062066,0.0001
224,-109.0556227295908,-136.0422239523461,0.0001
225,-158.79860367248637,-135.8433198945156,0.0001
226,-165.65936689019108,-135.8326100108196,0.0001
227,-148.1935877346967,-135.59690879926544,0.0001
228,-98.80988246445601,-135.99640459336027,0.0001
229,-158.52000389506506,-135.9006055500149,0.0001
230,-155.18859109128337,-135.86961826022645,0.0001
231,-126.30294705111889,-135.8409931437365,0.0001
232,-144.85440164360114,-136.2229010592456,0.0001
233,-137.8302042101327,-136.85293467701564,0.0001
234,-145.42327683073123,-136.54707203119625,0.0001
235,-137.14511977743615,-136.47929507216588,0.0001
236,-170.20410289401104,-136.45271324479515,0.0001
237,-138.25431830255698,-135.68824168333865,0.0001
238,-147.42050148532982,-136.6367303982973,0.0001
239,-132.28883831180195,-137.78261916347017,0.0001
240,-154.0970241148066,-138.27520449409678,0.0001
241,-140.27123751472794,-138.31093315168008,0.0001
242,-152.25250699264495,-139.0160790184317,0.0001
243,-133.66842720709283,-139.1367102043236,0.0001
244,-153.4509246904285,-139.93733694191246,0.0001
245,-195.97893392601117,-141.04851961339224,0.0001
246,-108.08555960315843,-140.44046693144594,0.0001
247,-142.57165959110043,-140.52769446894297,0.0001
248,-132.5497028557358,-140.21136132988633,0.0001
249,-185.35811015715083,-140.89893806779654,0.0001
250,-112.19011155127325,-140.99639742127107,0.0001
251,-80.24568773214342,-140.5242673157832,0.0001
252,-157.91158677082947,-140.40514704355633,0.0001
253,-96.87186404117632,-139.45309015064413,0.0001
254,-165.69366176877332,-138.85302820069282,0.0001
255,-111.63330350008927,-138.7725069348639,0.0001
256,-86.04742095641127,-137.90496558363108,0.0001
257,-76.97443820073141,-136.70341172697624,0.0001
258,-100.02603250062198,-135.8902050486012,0.0001
259,-139.59592934270364,-136.015117664528,0.0001
260,-91.14220411297202,-135.08507982237663,0.0001
261,-182.32649795142208,-134.84402697041338,0.0001
262,-154.01445129713144,-134.51105248072247,0.0001
263,-118.66867700718764,-133.36788698322368,0.0001
264,-242.42418499965672,-133.25681171662828,0.0001
265,-85.3400511944318,-133.36793943314487,0.0001
266,-198.31453200435044,-133.99966339696013,0.0001
267,-220.32447777458353,-134.5935929404689,0.0001
268,-79.46924658228347,-134.1414717819699,0.0001
269,-145.83468364914665,-134.6502219349917,0.0001
270,-102.54438164390643,-134.03296635410427,0.0001
271,-81.82850404292034,-133.13741298793855,0.0001
272,-194.44459410561774,-133.3059236009341,0.0001
273,-220.43735559303855,-133.64037886971187,0.0001
274,-83.89114355548152,-132.32158798507643,0.0001
275,-114.17453981713638,-130.4166048175651,0.0001
276,-162.55548387904904,-130.14841999354428,0.0001
277,-135.16917568525585,-129.69858312764723,0.0001
278,-238.1464610459283,-130.52812426017158,0.0001
279,-112.31353784927063,-129.84237116474594,0.0001
280,-178.8633384017399,-129.39651678038976,0.0001
281,-270.9121002176268,-131.1265897465473,0.0001
282,-93.92002748095706,-130.77851061293674,0.0001
283,-101.52946681400093,-130.69920623415663,0.0001
284,-256.8943234401048,-132.13611031619033,0.0001
285,-180.1018670333313,-132.69123070305506,0.0001
286,-127.45850470603314,-132.65745133036629,0.0001
287,-176.93128122025075,-133.50054786048523,0.0001
288,-161.30495478086405,-133.5289428767595,0.0001
289,-147.8250117297643,-134.01504916869183,0.0001
