episode,reward,soups,layout,layout_average,overall_average,gamma,lambda_gae,clip_epsilon,update_every,total_tomato_pickups,total_useful_tomato_pickups,total_tomato_drops,total_useful_tomato_drops,total_potting_tomato,total_optimal_potting_tomato,total_viable_potting_tomato,total_catastrophic_potting_tomato,total_useless_potting_tomato,total_onion_pickups,total_useful_onion_pickups,total_onion_drops,total_useful_onion_drops,total_potting_onion,total_optimal_potting_onion,total_viable_potting_onion,total_catastrophic_potting_onion,total_useless_potting_onion,total_dish_pickups,total_useful_dish_pickups,total_dish_drops,total_useful_dish_drops,total_soup_pickups,total_soup_deliveries,total_incorrect_deliveries,total_cumulative_sparse_rewards,total_cumulative_shaped_rewards,average_tomato_pickup_efficiency,average_onion_pickup_efficiency,average_potting_efficiency_tomato,average_potting_efficiency_onion,coordination_success_rate
96037,582,10,cramped_room,9.94,8.813333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,35,2,0,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9705882352941176,0.0,1.0,1.0
96038,582,10,cramped_room,9.94,8.813333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,34,2,2,33,33,33,0,0,12,11,1,0,10,10,0,200,182,0.0,0.9545454545454546,0.0,1.0,1.0
96039,582,10,cramped_room,9.94,8.813333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,35,2,1,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,1.0,0.0,1.0,1.0
96040,579,10,cramped_room,9.94,8.813333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,34,2,1,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,0.94375,0.0,1.0,1.0
96041,587,10,cramped_room,9.94,8.813333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,33,1,1,33,33,33,0,0,11,11,0,0,11,10,0,200,187,0.0,0.96,0.0,1.0,1.0
96042,579,10,cramped_room,9.94,8.813333333333334,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,32,0,0,33,33,33,0,0,11,10,1,0,10,10,0,200,179,0.0,0.9736842105263157,0.0,1.0,1.0
96043,582,10,cramped_room,9.93,8.81,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,31,1,1,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9131944444444444,0.0,1.0,1.0
96044,570,10,cramped_room,9.93,8.81,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,35,1,1,33,33,33,0,0,12,7,1,0,10,10,0,200,170,0.0,1.0,0.0,1.0,1.0
96045,351,6,cramped_room,9.88,8.793333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,22,21,0,0,21,21,21,0,0,7,6,0,0,6,6,0,120,111,0.0,0.9615384615384616,0.0,1.0,1.0
96046,555,10,cramped_room,9.88,8.793333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,35,3,1,33,33,33,0,0,15,2,4,1,10,10,0,200,155,0.0,0.975,0.0,1.0,1.0
96047,618,11,cramped_room,9.89,8.796666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,35,2,1,34,34,34,0,0,13,7,2,0,11,11,0,220,178,0.0,0.9523809523809523,0.0,1.0,1.0
96048,579,10,cramped_room,9.88,8.793333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,34,34,1,0,33,33,33,0,0,10,10,0,0,10,10,0,200,179,0.0,1.0,0.0,1.0,1.0
96049,630,11,cramped_room,9.89,8.796666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,35,1,0,34,34,34,0,0,11,11,0,0,11,11,0,220,190,0.0,0.9736842105263157,0.0,1.0,1.0
96050,579,10,cramped_room,9.89,8.796666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,35,34,1,1,33,33,33,0,0,12,10,1,0,10,10,0,200,179,0.0,0.9761904761904762,0.0,1.0,1.0
96051,582,10,cramped_room,9.88,8.793333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,38,36,4,3,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9473684210526315,0.0,1.0,1.0
96052,522,9,cramped_room,9.86,8.786666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,37,34,6,4,30,30,30,0,0,9,9,0,0,9,9,0,180,162,0.0,0.920807453416149,0.0,1.0,1.0
96053,570,10,cramped_room,9.85,8.783333333333333,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,39,38,7,2,32,32,32,0,0,10,8,0,0,10,10,0,200,170,0.0,0.9772727272727273,0.0,1.0,1.0
96054,582,10,cramped_room,9.84,8.78,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,36,35,3,0,33,33,33,0,0,11,11,0,0,10,10,0,200,182,0.0,0.9722222222222222,0.0,1.0,1.0
96055,558,10,cramped_room,9.83,8.776666666666667,0.99,0.95,0.2,1500,0,0,0,0,0,0,0,0,0,33,33,0,0,33,33,33,0,0,11,3,1,0,10,10,0,200,158,0.0,1.0,0.0,1.0,1.0
